,precision,recall,f1-score,support
0,0.9969418960244648,0.9979591836734694,0.9974502804691484,980.0
1,0.992988606485539,0.9982378854625551,0.9956063268892794,1135.0
2,1.0,0.997093023255814,0.9985443959243085,1032.0
3,0.995069033530572,0.999009900990099,0.9970355731225297,1010.0
4,0.9949290060851927,0.9989816700610998,0.9969512195121951,982.0
5,0.9977528089887641,0.9955156950672646,0.9966329966329966,892.0
6,0.9979013641133263,0.9926931106471816,0.9952904238618524,958.0
7,0.9941804073714839,0.9970817120622568,0.9956289460903351,1028.0
8,0.998972250770812,0.997946611909651,0.9984591679506933,974.0
9,0.998003992015968,0.9910802775024777,0.9945300845350572,1009.0
accuracy,0.9966,0.9966,0.9966,0.9966
macro avg,0.9966739365386124,0.996559907063187,0.9966129414988396,10000.0
weighted avg,0.996607260571791,0.9966,0.9965995799404714,10000.0
